1;Kis Pista;Ez a cime:;Kossuth;2012;3;145123445
2;Nagy Gábor;C++ haladoknak;Petofi;2012;3;123123445
3;Nagy Gábor;Almafase;Gangsta;2001;13;17627111
4;Nagy Gábor;Almafase;Gangsta;22001;13;111111111
5;Nagy Gábor;Almafase;Gangsta;22001;13;111111111
6;Nagy Gábor;Almafase;Gangsta;22001;13;111111111
7;Nagy Gábor;Almafase;Gangsta;22001;13;111111111
8;Magasvari Akos;Hogyan programozzunk C++-ban?;Magavari Konyvkiado Rt;2013;1;123456789
9;Magasvari,Akos;Mesek Albionban;Test;1;1;1234
11;Mi;Ki;TI;1234;1;123456789
